country,value
Austria,99.9
Belgium,98.6
Canada,100
Chile,77.4
Costa Rica,90.9
Czech Republic,100
Denmark,100
Estonia,95.9
Finland,100
France,99.9
Germany,99.9
Greece,100
Hungary,95
Iceland,99.6
Ireland,100
Israel,100
Italy,100
South Korea,100
Latvia,100
Lithuania,98.8
Luxembourg,100
Netherlands,99.9
New Zealand,100
Norway,100
Poland,94
Portugal,100
Slovakia,95
Slovenia,100
Spain,100
Sweden,100
Switzerland,100
Turkey,98.8
England,100
USA,38.4
